('16', '10G-EPON')
('2960', 'Autoroll')
('2972', 'Available expression')
('2974', 'Avalanche (dynamic analysis tool)')
('2985', 'Average-case complexity')
('2986', 'Average CPU power')
('2993', 'Avi Rubin')
('2999', 'Avizo (software)')
('3005', 'Avonite')
('3021', 'Axis-aligned object')
('3031', 'Azriel Rosenfeld')
('3049', 'BAMC')
('3053', 'BASE (search engine)')
('3057', 'BASICODE')
('3061', 'BATON')
('3070', 'BBN Butterfly')
('3089', 'BCSWomen')
('3103', 'BESM')
('3110', 'BFGS method')
('3112', 'BGA1')
('3115', 'BI-RADS')
('3124', 'BIOSCI')
('3129', 'BIRCH (data clustering)')
('3142', 'BLIS/COBOL')
('3143', 'BLISS')
('3145', 'BLOSUM')
('3150', 'BMF Bitmap')
('3152', 'BMS-203')
('3159', 'BOS/360')
('3164', 'BQP')
('3175', 'BSD/OS')
('3178', 'BSD checksum')
('3190', 'BTSharp')
('3197', 'BURS')
('3203', 'Babbel')
('3224', 'Back to My Mac')
('3225', 'Backblaze')
('3238', 'Backscatter (e-mail)')
('3239', 'Backtracking')
('3241', 'Backup')
('3271', 'Baire category theorem')
('3278', 'Balanced sentence')
('3292', 'Balthasar Bekker')
('3295', 'Baltie')
('3302', 'Banbury mixer')
('3308', 'Bandelet (computer science)')
('3310', 'Bandicoot (database)')
('3311', 'Bandit project')
('3314', 'Bandwidth (computing)')
('3316', 'Bandwidth extension')
('3318', 'Bandwidth management')
('3324', 'Bank of English')
('3343', 'Barbie and the Three Musketeers')
('3346', 'Barcode reader')
('3358', 'Barkhausen stability criterion')
('3372', 'Barrett reduction')
('3389', 'Barycentric-sum problem')
('3394', 'Base (group theory)')
('3397', 'Base One Foundation Component Library')
('3412', 'Bash Bish Falls State Park')
('3414', 'Bashir Rameyev')
('3417', 'Basic4android')
('3432', 'Basing diagram')
('3436', 'Basis pursuit denoising')
('3440', 'Basking in reflected glory')
('3441', 'BassOmatic')
('3454', 'Battenberg Course Indicator')
('3455', 'Battery eliminator')
('3473', 'Bayes linear statistics')
('3476', 'Bayesian average')
('3494', 'BbLean')
('3511', 'Be File System')
('3517', 'Beam propagation method')
('3526', 'Beanie Baby')
('3527', 'Beap')
('3546', 'Bedlam cube')
('3547', 'Bedrock (framework)')
('3560', 'Behavior Driven Development')
('3563', 'Behavior of DEVS')
('3576', 'Being and Nothingness')
('3594', 'Beltrami identity')
('3616', 'Benz plane')
('3625', 'Berkeley Lower Extremity Exoskeleton')
('3627', 'Berkeley RISC')
('3636', 'Berlin key')
('3637', 'Bernard Chazelle')
('3650', 'Bernstein polynomial')
('3657', 'Bertrand competition')
('3658', 'Bertrand paradox (economics)')
('3669', 'Beta BASIC')
('3672', 'Beta normal form')
('3691', 'Bhawani Shankar Chowdhry')
('3693', 'Bhoo')
('3696', 'Bi-quinary coded decimal')
('3700', 'Biased graph')
('3705', 'Bible Analyzer')
('3730', 'Bidirectional scattering distribution function')
('3740', 'BigDog')
('3742', 'BigQuery')
('3754', 'Big data')
('3759', 'Bigraph')
('3762', 'Bijankhan Corpus')
('3777', 'Bill Griswold')
('3793', 'Billiard-ball computer')
('3799', 'Bin (computational geometry)')
('3803', 'BinaryObject (metadata)')
('3827', 'Binary multiplier')
('3835', 'Binary search tree')
('3839', 'Binary tree')
('3840', 'Binaural fusion')
('3849', 'Binomial')
('3851', 'Binomial heap')
('3862', 'BioCreative')
('3877', 'BioSim')
('3881', 'Biochip')
('3886', 'Biodiversity Heritage Library')
('3890', 'Biogeochemistry')
('3894', 'Bioinformatics')
('3895', 'Bioinformatics workflow management systems')
('3911', 'Biologue')
('3923', 'Biomolecular Object Network Databank')
('3929', 'Biopython')
('3935', 'Biostatistics')
('3938', 'Bipartite dimension')
('3939', 'Bipolar violation')
('3942', 'Birational geometry')
('3955', 'Bishop Bell School')
('3967', 'Bison occidentalis')
('3968', 'Bispectrum')
('3972', 'Bistro (programming language)')
('3985', 'BitLocker Drive Encryption')
('3995', 'Bit cell')
('4018', 'Bitstream')
('4030', 'BlackBerry Messenger')
('4034', 'BlackBox Component Builder')
('4045', 'Black Perl')
('4049', 'Black Widow')
('4051', 'Black balance')
('4054', 'Black hat')
('4085', 'Blay Whitby')
('4093', 'Bliki')
('4116', 'Blobotics')
('4117', 'Block-oriented terminal')
('4134', 'Block reflector')
('4139', 'Blocking (computing)')
('4145', 'Blog')
('4154', 'Blogger (service)')
('4168', 'Bloombase Technologies')
('4175', 'BlueMelon')
('4180', 'Blue Flag beach')
('4185', 'Blue Obelisk')
('4193', 'Bluesnarfing')
('4204', 'Board puzzles with algebra of binary variables')
('4224', 'Bochs')
('4273', 'BookmarkSync')
('4297', 'Boot File System')
('4299', 'Boot flag')
('4312', 'Bootstrapping (computing)')
('4323', 'Border Gateway Protocol')
('4326', 'Borel right process')
('4329', 'Boris Aronov')
('4334', 'Boris Mordukhovich')
('4341', 'Boss Film Studios')
('4356', 'Bottleneck traveling salesman problem')
('4363', 'Bounce address')
('4365', 'Bouncy Castle (cryptography)')
('4370', 'Boundary representation')
('4382', 'Bounded variation')
('4391', 'BountySource')
('4392', 'Bourke v. Nissan Motor Co.')
('4393', 'Bourne shell')
('4416', 'Bradley Efron')
('4419', 'Bradley W. Schenck')
('4422', 'Braiding machine')
('4424', 'Braille ASCII')
('4429', 'Brain dump')
('4432', 'Brain mapping')
('4444', 'Bramble-Hilbert lemma')
('4446', 'Branch and bound')
('4448', 'Branch misprediction')
('4460', 'Brandon-Hill list')
('4466', 'Brazilianist')
('4475', 'Bregman divergence')
('4496', 'Brian Ford (numerical analyst)')
('4499', 'Brian Henderson-Sellers')
('4534', 'Brightkite')
('4554', 'British Household Panel Survey')
('4573', 'British Society for Research into Learning Mathematics')
('4577', 'British undergraduate degree classification')
('4578', 'Britney Spears')
('4579', 'Britney Spears discography')
('4591', 'Broadcast domain')
('4593', 'Broadcast flag')
('4602', 'BrookGPU')
('4661', 'Buckingham potential')
('4665', 'Buddhist studies')
('4687', 'Bugs Bunny')
('4706', 'Building services engineering')
('4708', 'Bukit Tagar Landfill')
('4720', 'Bump (application)')
('4729', 'Burmese Python')
('4743', 'Burton Smith')
('4744', 'Bus (computing)')
('4771', 'Business Motivation Model')
('4773', 'Business Object Notation')
('4774', 'Business Operating System')
('4783', 'Business activity monitoring')
('4796', 'Business interaction networks')
('4797', 'Business logic')
('4804', 'Business process discovery')
('4815', 'Business rule management system')
('4842', 'Bx-tree')
('4845', 'Byte')
('4863', 'C-ROT gate')
('4880', 'C/AL')
('4890', 'CA-Cricket Presents')
('4894', 'CAADRIA')
('4918', 'CAMiLEON')
('4922', 'CAN Kingdom')
('4935', 'CAST-256')
('4954', 'CAdES (computing)')
('4961', 'CCDCOE')
('4993', 'CDS ISIS')
('4994', 'CDXL')
('4996', 'CD Player (Windows)')
('5019', 'CESG Claims Tested Mark')
('5020', 'CESG Listed Advisor Scheme')
('5025', 'CFD-DEM')
('5030', 'CFUnit')
('5034', 'CGI.pm')
('5038', 'CG artwork')
('5042', 'CHAOS (Linux clustering)')
('5046', 'CHESS model checker')
('5048', 'CHILDES')
('5051', 'CHI Academy')
('5057', 'CIFMS')
('5090', 'CLX (Common Lisp)')
('5100', 'CMMI Version 1.3')
('5105', 'CMU Pronouncing Dictionary')
('5106', 'CMU Sphinx')
('5109', 'CMiC')
('5112', 'CNC Router')
('5113', 'CNEWS (magazine)')
('5114', 'CNIL')
('5120', 'COCOMO')
('5133', 'COMIT')
('5150', 'COPERT')
('5151', 'COPS (software)')
('5154', 'CORSIKA')
('5156', 'COSILAB')
('5165', 'COmputer STored Ambulatory Record (COSTAR)')
('5183', 'CPU Speed Pro')
('5184', 'CPU bound')
('5186', 'CPU card')
('5192', 'CPU power dissipation')
('5208', 'CS-Script')
('5212', 'CSHALS')
('5232', 'CTPP')
('5244', 'CVSS')
('5264', 'C Sharp syntax')
('5290', 'Cablefree')
('5305', 'Caddie (CAD system)')
('5336', 'Calculus of communicating systems')
('5348', 'Calendaring software')
('5356', 'California Ethnic and Multicultural Archives')
('5379', 'Cambridge Computer Lab Ring')
('5380', 'Cambridge Diploma in Computer Science')
('5400', 'CampusNetwork')
('5406', 'Canadian Association for Information Science (CAIS-ACSI)')
('5407', 'Canadian Computing Competition')
('5410', 'Canadian Information Processing Society')
('5423', 'Canny edge detector')
('5431', 'Canonical analysis')
('5436', 'Canopus Corporation')
('5437', 'Canopy clustering algorithm')
('5442', 'CapDesk')
('5451', 'Capacitive sensing')
('5453', 'Capacitively coupled plasma')
('5461', 'Capistrano')
('5485', 'Card image')
('5489', 'Cardan grille')
('5490', 'Cardea (DRM)')
('5492', 'Cardiac sonographer')
('5498', 'Cardinality (data modeling)')
('5500', 'Cardiovascular and Interventional Radiological Society of Europe')
('5519', 'Carlo Ghezzi')
('5525', 'Carnegie Classification of Institutions of Higher Education')
('5527', 'Carnegie Mellon School of Computer Science')
('5532', 'Carole Goble')
('5535', 'Carpet cleaning')
('5547', 'Carry bypass adder')
('5564', 'Cartopedia')
('5572', 'Cascading classifiers')
('5576', 'CaseComplete')
('5578', 'Case Notes (radio show)')
('5579', 'Case modding')
('5585', 'Casio FA-1')
('5598', 'CastleCops')
('5607', 'Cat (programming language)')
('5613', 'Catalysis software design method')
('5614', 'Catan')
('5620', 'Categorial grammar')
('5622', 'Categorical logic')
('5635', 'Category mistake')
('5636', 'Category talk:Unix software')
('5637', 'Category theory')
('5667', 'Ccache')
('5680', 'Ceiling effect')
('5681', 'Ceiling fan')
('5682', 'Cel-shaded animation')
('5684', 'Celebuzz')
('5693', 'Cell microprocessor implementations')
('5696', 'Cell software development')
('5700', 'Cellular Digital Accessory')
('5702', 'Cellular image processing')
('5708', 'Cem Kaner')
('5715', 'Center (algebra)')
('5719', 'Center for Complex Systems and Brain Sciences')
('5727', 'Center for Mind and Brain')
('5737', 'Central Bureau')
('5745', 'Central and Eastern European Online Library')
('5755', 'Centre for Computational Geography')
('5782', 'Certificate-based encryption')
('5784', 'Certificate Management Protocol')
('5788', 'Certificate policy')
('5819', 'Chad Davis')
('5826', 'Chain of events')
('5830', 'Chainstore paradox')
('5836', 'Challenge-response authentication')
('5838', 'Chameleon (computing)')
('5842', 'Chancery hand')
('5847', 'Chang and Roberts algorithm')
('5848', 'Change-making problem')
('5849', 'Change Advisory Board')
('5854', 'Change deafness')
('5857', 'Change machine')
('5861', 'Changelog')
('5880', 'Chaos 2')
('5890', 'Chaotic hysteresis')
('5891', 'Chaotics')
('5895', 'Character (computing)')
('5896', 'Character Map')
('5899', 'Character encoding')
('5913', 'Charging Argument')
('5923', 'Charles F. Van Loan')
('5928', 'Charles H. Bennett (computer scientist)')
('5930', 'Charles Joseph Minard')
('5940', 'Charles Sanders Peirce bibliography')
('5944', 'Charlie Miller (security researcher)')
('5946', 'Charlotte Froese Fischer')
('5980', 'ChatZilla')
('5990', 'Chebyshev center')
('5993', 'Chebyshev nodes')
('6008', 'Checkstyle')
('6012', 'Cheetah3D')
('6015', 'Chef (software)')
('6023', 'ChemSpider')
('6027', 'Chemical WorkBench')
('6033', 'Chemical library')
('6040', 'Chemistry')
('6041', 'Chemistry Development Kit')
('6060', 'Chess as mental training')
('6071', 'Chi (Chobits)')
('6081', 'Chief information officer')
('6082', 'Chief programmer team')
('6093', 'ChilliSpot')
('6104', 'ChinesePython')
('6114', 'Chinese speech synthesis')
('6116', 'Chinese wall')
('6117', 'Chinook (draughts player)')
('6120', 'ChipWits')
('6137', 'Chlen module')
('6151', 'Chop (furniture)')
('6174', 'Chris Heuer')
('6177', 'Chris Lattner')
('6187', 'Chris Watts')
('6207', 'Christopher Blizzard')
('6209', 'Christopher Budd')
('6210', 'Christopher Columbkille Biddle')
('6221', 'Chromatic (programmer)')
('6229', 'Chronicling America')
('6230', 'Chroot')
('6241', 'Chunk (information)')
('6256', 'Cinderella (software)')
('6258', 'CinemaDNG')
('6266', 'Cipher suite')
('6267', 'Cipherspace')
('6269', 'Ciphertext-only attack')
('6275', 'CircuitLogix')
('6277', 'Circuit ID')
('6278', 'Circuit breaker design pattern')
('6281', 'Circuit minimization')
('6283', 'Circuit rider (technology)')
('6284', 'Circuit switching')
('6298', 'Circumpolar Health Bibliographic Database')
('6303', 'Cisco 1000')
('6315', 'Cisco Systems VPN Client')
('6323', 'Citation style language')
('6325', 'CiteSeer')
('6328', 'Citizen Information Project')
('6334', 'CitySurf Globe')
('6338', 'Civil Pages')
('6342', 'Civilization and Its Discontents')
('6344', 'Cksum')
('6357', 'Clanking replicator')
('6368', 'Claris Resolve')
('6370', 'Clarksfield (microprocessor)')
('6379', 'Class Library for Numbers')
('6388', 'Classful network')
('6389', 'Classic Environment')
('6391', 'Classical Lounge')
('6400', 'Classification of discontinuities')
('6406', 'Classifier (UML)')
('6410', 'Claude Berrou')
('6414', 'Clausal normal form')
('6418', 'Claytronics')
('6423', 'Clean Slate Program')
('6425', 'Clean room design')
('6429', 'ClearCube')
('6430', 'ClearForest')
('6438', 'Clear Channel Assessment attack')
('6448', 'Clickworkers')
('6455', 'Client-side scripting')
('6459', 'Client honeypot')
('6462', 'Cliff Shaw')
('6465', 'Clifford Berry')
('6466', 'Clifford Cocks')
('6471', 'Climate Data Analysis Tool')
('6478', 'Climbing formwork')
('6486', 'Cliometrics')
('6494', 'Clipping (computer graphics)')
('6501', 'Cloaking device')
('6503', 'Clock-face scheduling')
('6519', 'Clone (Java method)')
('6523', 'Clone manager')
('6536', 'Closed linear span')
('6537', 'Closed proxy')
('6549', 'Clothing label')
('6566', 'Cloud testing')
('6570', 'Cloudvpn')
('6579', 'Clube do Hardware')
('6595', 'Cluster manager')
('6609', 'Co-NP-complete')
('6611', 'Co-occurrence matrix')
('6612', 'Co-occurrence networks')
('6625', 'Coalescing (computer science)')
('6628', 'Coarse function')
('6638', 'CobolScript')
('6659', 'CodeIt.Right')
('6674', 'Code Saturne')
('6676', 'Code audit')
('6694', 'Code refactoring')
('6718', 'Coding by exception')
('6720', 'Coding gain')
('6726', 'Coefficient')
('6729', 'Coercive function')
('6753', 'Cognitive description')
('6758', 'Cognitive inertia')
('6761', 'Cognitive map')
('6767', 'Cognitive password')
('6798', 'Colatitude')
('6804', 'Cold start')
('6806', 'Coldstone game engine')
('6827', 'Collaborative network')
('6830', 'Collaborative writing')
('6838', 'Collection catalog')
('6841', 'Collective Optimization Database')
('6846', 'Collective memory')
('6849', 'College Tonight')
('6883', 'Color Structure Code')
('6885', 'Color bleeding (computer graphics)')
('6891', 'Color histogram')
('6892', 'Color image')
('6897', 'Color mixing')
('6907', 'Colour look-up table')
('6909', 'Columbia (supercomputer)')
('6916', 'Com One group')
('6920', 'Combi steamer')
('6921', 'Combination')
('6925', 'Combinatorial class')
('6934', 'Combinatorica')
('6937', 'Combinatorics and physics')
('6957', 'Comma operator')
('6958', 'Command-line argument')
('6963', 'Command Prompt')
('6969', 'Comment (computer programming)')
('6981', 'Commitment ordering')
('6985', 'Committee on National Security Systems')
('7005', 'Common Berthing Mechanism')
('7009', 'Common Content')
('7042', 'Common normal (robotics)')
('7043', 'Common operator notation')
('7044', 'Common reference string model')
('7053', 'Communicating sequential processes')
('7066', 'Communications Security Establishment Canada')
('7078', 'Community Education Computer Society')
('7087', 'Communote')
('7101', 'Compact complement topology')
('7125', 'Compaq Presario 5460')
('7131', 'Comparative case')
('7133', 'Comparative regulatory genomics database')
('7142', 'Comparison of Adobe Flex charts')
('7144', 'Comparison of Android e-book reader software')
('7150', 'Comparison of C Sharp and Visual Basic .NET')
('7156', 'Comparison of Microsoft Windows versions')
('7170', 'Comparison of VMware Fusion and Parallels Desktop')
('7171', 'Comparison of VoIP software')
('7181', 'Comparison of console controllers')
('7184', 'Comparison of database access')
('7190', 'Comparison of domestic robots')
('7201', 'Comparison of hardware random number generators')
('7210', 'Comparison of open source configuration management software')
('7214', 'Comparison of optimization software')
('7219', 'Comparison of programming languages (basic instructions)')
('7226', 'Comparison of programming paradigms')
('7237', 'Comparison sort')
('7249', 'Compensating transaction')
('7256', 'Competitive learning')
('7261', 'Compile time function execution')
('7275', 'Complete (complexity)')
('7276', 'Complete active space')
('7280', 'Complete numbering')
('7293', 'Complex instruction set computing')
('7302', 'Complex system biology')
('7310', 'Compliance Week')
('7316', 'Compo (demoscene)')
('7319', 'Component-Integrated ACE ORB')
('7321', 'Component-based software engineering')
('7322', 'Component (UML)')
('7325', 'Component Object Model')
('7330', 'Componential analysis')
('7334', 'Composite UI Application Block')
('7337', 'Composite data type')
('7383', 'Computational Center for Nanotechnology Innovations')
('7388', 'Computational Linguistics (journal)')
('7396', 'Computational biology')
('7400', 'Computational complexity of mathematical operations')
('7411', 'Computational fluid dynamics')
